participantGuid	resultString
266EB970-30F7-44A1-9488-1305BA541BE2	"['F,161,1517161987.81783','F,282,1517161991.51584','F,360,1517161994.68615','F,453,1517161996.80218','F,559,1517161997.75999','F,694,1517161998.53555','F,905,1517161999.13531','F,1007,1517161999.78574','F,1096,1517162000.45297','F,1291,1517162001.03622','F,1439,1517162001.60252','F,1452,1517162002.06934','F,1496,1517162002.60344','F,1589,1517162003.08731','F,1645,1517162003.60153','F,1850,1517162004.08621','F,1925,1517162004.56952','F,2036,1517162005.10312','F,2074,1517162005.63652','F,2168,1517162006.12074','F,2306,1517162006.63831','F,2369,1517162007.15352','F,2515,1517162007.62022','F,2564,1517162008.12127','F,2680,1517162008.60372','F,2849,1517162009.17203','F,2949,1517162009.77055','F,3245,1517162010.26872','F,3450,1517162010.83744','F,3557,1517162011.37069','F,3691,1517162011.90405','F,3777,1517162012.42084','F,3906,1517162015.28961','F,3938,1517162016.65618','F,3956,1517162017.43044','F,4054,1517162018.18916','F,4153,1517162019.02393','F,4224,1517162019.73897','F,4371,1517162020.37358','F,4469,1517162021.00732','F,4688,1517162021.60417','F,4770,1517162022.20616','F,4800,1517162022.8396','F,4901,1517162023.44032','F,5086,1517162023.9536','F,5623,1517162024.47252','F,5642,1517162024.9393','F,5655,1517162025.43971','F,5752,1517162025.90424','F,5825,1517162026.37242','F,6015,1517162026.85678','F,6135,1517162027.33971','F,6208,1517162027.79134','F,6315,1517162028.27307','F,6355,1517162028.74021','F,6539,1517162029.20651','F,6786,1517162030.18999','F,6914,1517162030.62269','F,7071,1517162031.11059','F,7205,1517162031.62369','F,7296,1517162032.09026','F,7504,1517162032.571','F,7571,1517162033.02419','F,7670,1517162033.49185','F,7798,1517162033.97391','F,7902,1517162034.50742','F,8127,1517162035.04125','F,8294,1517162036.47962','F,8345,1517162036.95756','FP,8497,1517162037.76017','FP,9060,1517162039.74324','FP,9101,1517162040.57667','FP,9491,1517162041.34354','FP,10536,1517162042.19507','FP,11263,1517162042.99388','FP,12032,1517162043.84387','FP,12624,1517162044.61101','FP,13229,1517162045.29443','FP,14136,1517162045.96106','FP,14327,1517162046.59432','FP,14714,1517162047.29479','FP,14714,1517162048.07947','FP,14744,1517162050.16147','FP,14714,1517162050.74662','FP,14714,1517162051.27471','F,14722,1517162052.60987','F,14820,1517162053.79184','F,14923,1517162054.62809','F,15023,1517162055.21035','F,15096,1517162055.94408','F,15202,1517162056.66032','F,15329,1517162057.34391','F,15394,1517162057.96098','F,15448,1517162058.61087','F,15463,1517162059.4362','F,15471,1517162060.16103']"
273F55B8-2032-48AD-B2B9-CD37ADED968D	"['P,40,1507835641.32344','F,40,1507835642.08856','B,231,1507835643.33939','P,58,1507835645.80818','C,58,1507835646.35828','F,73,1507835646.9244','P,8740,1507836154.83994','C,8740,1507836216.05372','P,8756,1507836217.00342','C,8756,1507836234.54849']"
27607C4B-7CA1-4619-AEDF-2336EDCECAED	
28A43BA0-1AAE-4CAC-A584-49CFDAD6C452	"['TB,0,1493763640.34844','TF,0,1493763642.54695','TFP,0,1493763645.48263','TBP,0,1493763647.83232','TPC,0,1493763650.74879','TPC,0,1493763652.41555','TB,0,1493763655.29805','TF,0,1493763657.3164','TB,0,1493763659.36756','TBP,0,1493763662.21745','TFP,0,1493763665.46797','TF,0,1493763667.75009','TB,0,1493763670.25032','BP,490,1493763702.05608','BG,0,1493763720.09788','FG,0,1493763721.7394','BG,0,1493764189.96533','FG,0,1493764195.84137','BP,8393,1493764214.36693','BG,0,1493764395.8786','FG,0,1493764400.636','P,10582,1493764403.49135','C,10582,1493764404.22572','BG,0,1493764408.24722','FG,0,1493764419.31522']"
2A49407A-8315-4E33-B988-FC4D8D6E14B6	"['TPC,0,1503280387.01716','TFP,0,1503280389.05926','TBP,0,1503280392.1573','TB,0,1503280394.19078','TF,0,1503280397.65862','P,209,1503280412.79219','C,209,1503280414.56504','P,386,1503280424.66223','C,386,1503280427.99188','B,1261,1503280476.14659','P,2398,1503280557.83066','C,2398,1503280563.18468','P,2969,1503280598.18258','C,2969,1503280604.78779','P,10525,1503281050.40646','C,10525,1503281054.92362','P,10529,1503281055.65278','C,10529,1503281059.19991','P,10536,1503281060.17203','C,10536,1503281077.0513']"
2A89A9F5-A810-4AB6-95B0-4B51C46B1BDC	"['BG,0,1506485537.4316','FG,0,1506485539.53182','B,27,1506485611.54516','F,19,1506485612.4481','P,40,1506485613.58179','B,40,1506485614.26557','F,10,1506485614.76459']"
2AF15B47-D4B0-4BB0-8A76-6B355A20A6D9	"['TB,0,1506478595.75692','TF,0,1506478598.12206','TBP,0,1506478601.20736','TFP,0,1506478603.49192','TPC,0,1506478605.74377','B,414,1506478632.14179']"
2B5FE5BF-B6F0-4D7A-966C-3FB2A0186AA1	"['TB,0,1494423756.99176','TF,0,1494423759.80985','TBP,0,1494423764.36245','TFP,0,1494423767.24618','TPC,0,1494423773.86813','P,175,1494423785.09092','B,175,1494423786.62344','F,7026,1494424197.53054']"
2CCB6B41-FFA0-4CBE-978A-B6557CD36E42	"['BG,0,1506572565.18682','FG,0,1506572567.01948','BG,0,1506573785.67185','FG,0,1506573791.66222']"
3227B235-B00E-4A57-9813-90528CC836B1	
