resultString,participantGuid,participantGroup
"['TPC,0,1493851213.65934','TPC,0,1493851215.19077','TBP,0,1493851217.17437','TFP,0,1493851219.69232','TB,0,1493851222.40996','TB,0,1493851224.79449','TF,0,1493851227.21343']",84F7D5DD-AD1A-43EC-A4CA-17CEA95DB508,4
"['TPC,0,1493851768.15844','TPC,0,1493851770.53215','TF,0,1493851772.90592','TB,0,1493851775.1492','TFP,0,1493851777.16223','TBP,0,1493851780.62945','BP,9738,1493852354.68344','BP,910,1493852356.10037','BP,11239,1493852480.74492','BP,10554,1493852482.11141']",3DD16C50-2D52-465F-B441-E6BCCE9DB638,4
"['BG,0,1493852070.26688','FG,0,1493853167.53124','FP,154,1493853611.69835','FP,453,1493853613.68173','FP,694,1493853614.34759','FP,1089,1493853614.84754','FP,1439,1493853615.24778',&quo;FP,1496,1493853615.69808','FP,1925,1493853616.09601','FP,2564,1493853616.548','FP,3450,1493853616.93155','FP,3950,1493853617.31323','F,4469,1493853617.73603','FP,4688,1493853618.18215',&quo;FP,4793,1493853618.61342','FP,5623,1493853619.06617','FP,5659,1493853619.5326','FP,6015,1493853620.01685','FP,6539,1493853620.53068','FP,6914,1493853621.03094','FP,7504,1493853621.51433',&qot;FP,8345,1493853621.96285','FP,9041,1493853622.43056','FP,9089,1493853622.91487','FP,9491,1493853623.41424','FP,10536,1493853623.86235','FP,11259,1493853624.36422','FP,12023,1493853624.81467&qut;,'FP,12620,1493853625.29763','FP,13229,1493853625.80243','FP,14136,1493853626.26504','FP,14327,1493853626.80257','FP,14714,1493853627.2979','FP,14714,1493853627.8043','F,14790,1493853632.5437','F,14820,1493853633.54716','P,14915,1493853633.76346','F,14915,1493853634.51445','F,15023,1493853635.25996','P,15023,1493853635.33632','F,15023,1493853635.99728','F,15202,149385363.6474','F,15329,1493853637.31497','F,15403,1493853638.44891']",0D89E41D-A788-4F1A-8FB6-A5CCBC1FA868,4
"['TB,0,1493853796.7151','TF,0,1493853798.74667','TF,0,1493853801.16393','TPC,0,1493853804.36348','TFP,0,1493853807.19914','TBP,0,1493853809.36879','BG,0,1493853987.70346','FG,0,149854092.41201','B,2803,1493854101.97361','BG,0,1493854162.9498','FG,0,1493854167.69549','F,3632,1493854170.8695','BG,0,1493854264.33533','FG,0,1493854268.01614','F,5296,1493854274.4867&qot;]",B0447EDF-6A87-4710-BADE-8DEF4E9CB0E6,2
,5263E1B2-1F8A-4ED8-AF78-C18E301F23EE,4
,5263E1B2-1F8A-4ED8-AF78-C18E301F23EE,4
,5263E1B2-1F8A-4ED8-AF78-C18E301F23EE,4
"['TFP,0,1493861795.74264','TF,0,1493861798.2604','TB,0,1493861801.22732','FP,101,1493861809.81389','FP,472,1493861812.54738','FP,694,1493861813.04765','FP,1089,1493861813.49602','F,1439,1493861814.39842','FP,1496,1493861814.84789','FP,1925,1493861815.31492','FP,2577,1493861816.24769','FP,3450,1493861816.79785','FP,3956,1493861817.33154','FP,4469,1493861817.8817',&quotF,4469,1493861817.99582','FP,4901,1493861818.43225','FP,5623,1493861818.89937','FP,5655,1493861819.36558','FP,6015,1493861819.83128','FP,6539,1493861820.26806','FP,6914,1493861820.74686',&qut;FP,7504,1493861821.23162','F,7504,1493861821.29801','FP,8493,1493861821.70128','FP,8493,1493861821.74852','FP,9089,1493861822.14871','FP,9491,1493861822.5818','F,9491,1493861822.6959',&quo;FP,10730,1493861823.0269','FP,11263,1493861823.8155','FP,12023,1493861824.28216','FP,12620,1493861824.74888','FP,13229,1493861825.28302','FP,14150,1493861826.38566','FP,14330,1493861827.05465&qut;,'FP,14714,1493861827.71663','FP,14714,1493861828.39949','F,14923,1493861841.2334','F,15023,1493861842.19978']",D292784D-0463-413F-BA34-F94121FA453A,3
,0D41EF9F-23C6-4FFD-BC75-A17504C119AC,0
,829FAB90-DE50-4E97-981B-89363728497F,0
